id,twitterlink,caption,likes,shares,posttime,postdatetime,collecttime,videotranscriptionpath,videocontext,,politicalbias,misleading,criticism,videoaudiopairing,videocaptionpairing,audiocaptionparing,,label
1,https://x.com/MarshaBlackburn/status/1984651437687607356,"The Biden FBI Spying Scandal confirmed Americans’ worst fears about the weaponization of government under Joe Biden. It makes every American wonder: If they did this to sitting U.S. Senators, what did they do to conservatives across America?",1311,396,"8:59 AM · Nov 1, 2025",2025-11-01T15:59:10.000Z,2025/11/1 13:10,./transcription/1.vtt,,,,,,,,,,
2,https://x.com/Eternal_Saints_/status/1984092458788204614,"ICE Arrest at Salt Lake Airport Sparks City Backlash Federal agents arrested 39-year-old Marta Brizeyda Renderos Leiva at Salt Lake City International Airport on Oct. 29. According to ICE, Renderos Leiva is an illegal immigrant from El Salvador who entered the U.S. in 2007 and was ordered removed in 2020. Officials say she was taken into custody during a targeted enforcement operation and is being held pending removal. The arrest, made by Homeland Security and Border Patrol agents acting on ICE’s behalf, happened near the airport’s baggage claim area. The Salt Lake City Council called the operation “unusual” and said it “creates fear and uncertainty in our community,” emphasizing it was not coordinated with city police. The council says it’s seeking more information from federal authorities. Mayor Erin Mendenhall also condemned the incident, saying she reviewed footage of plain-clothed agents detaining the woman in a public area of the terminal. “Nothing about this incident, like so many ICE operations, makes me feel safer as an American,” she said. Both the mayor and city council reiterated that the Salt Lake City Police Department had no role in the operation and is prohibited by federal law from interfering with immigration enforcement. Video by Shanon Hale",398,70,"7:57 PM · Oct 30, 2025",2025-10-31T02:57:59.000Z,2025/11/1 14:02,./transcription/2.vtt,,,,,,,,,,
3,https://x.com/anthon7yandrews/status/1984690335021211676,Konstantin Rykov is another Russian agent who heavily influenced U.S. election interference. Here is a screen video of his FB page. At the end you will recognize a specific photo of CECOT that was on the news. Rykov’s post of it below was years earlier. Think about that 4 a bit.,10,9,"11:33 AM · Nov 1, 2025",2025-11-01T18:33:44.000Z,2025/11/1 14:05,,,,,,,,,,,
4,https://x.com/cpsavesoil/status/1984585528193450326,"A Milestone for Our Planet! At #IUCNWCC last week, Resolution 007 towards a Soil Security Law was officially adopted — a historic step recognizing that healthy, living soil is the foundation of well-being for all Life on Earth. Initiated, sponsored, and tabled by SoilSAL, Save Soil, and GCELS, this #IUCNResolution 007 is now our collective call to action. We can’t safeguard our future without safeguarding the soil beneath our feet. From supporting biodiversity preservation to climate change mitigation and adaptation, and ensuring food, water, and energy security, soil is at the heart of our planet’s health — and now, it’s one stride closer to getting the legal protection it deserves. Why it matters: ● Global recognition for urgent, comprehensive, legal protection for soil  ● Jumpstarts multi-stakeholder collaboration to develop concepts and parameters for an international convention or a global legal instrument on soil security ● Aligns fragmented global mechanisms and promotes policy coherence across local, national, regional, and international governance levels to scale soil as a nexus solution for global existential challenges ● Recognizes Indigenous peoples’ roles in soil stewardship and sustainable agriculture to revitalize soil In the words of the late Dr. Jane Goodall: “We know what we must do, so Let’s Make It Happen!” @iucn_wcel
 

#SaveSoil",128,106,"4:37 AM · Nov 1, 2025",2025-11-01T11:37:16.000Z,2025/11/1 14:08,,,,,,,,,,,
5,https://x.com/Basil_TGMD/status/1984535265717993667,NEWS: UK BORDER FORCE TO GO ON STRIKE Seriously. Would anyone notice if they did? What do they even do?,8180,1347,"1:17 AM · Nov 1, 2025",2025-11-01T08:17:32.000Z,2025/11/1 14:17,./transcription/5.vtt,,,,,,,,,,
6,https://x.com/GuruNGovernance/status/1985952341334638845,"Why Are India’s Mayor Elections Still Delayed? 

Sending loads of love and wishes from India to the newly elected mayor of New York City 🌻💙 
@ZohranKMamdani
 

@VoiceOfLocalGov
 

#LocalDemocracy #MayorElections #ZohranMamdani #SocialJustice #IGG #VoiceOfLocalGovernment",1,2,"10:08 PM · Nov 4, 2025",2025-11-05T06:08:30.000Z,2025/11/4 22:20,./transcription/6.vtt,,,,,,,,,,
7,https://x.com/BNODesk/status/1985929623104794932,"WATCH: Dash cam video shows UPS plane crash in Louisville, Kentucky",13181,1740,"8:38 PM · Nov 4, 2025",2025-11-05T04:38:13.000Z,2025/11/4 22:32,./transcription/7.vtt,,,,,,,,,,
8,https://x.com/FoxNews/status/1985934103040954468,"NEW: NYC Mayor-elect Zohran Mamdani challenges President Trump in his victory speech: “New York will remain a city of immigrants, a city built by immigrants, powered by immigrants. And as of tonight, led by an immigrant.” “So hear me, President Trump, when I say this: To get any of us, you will have to get through all of us.”",601,2107,"8:56 PM · Nov 4, 2025",2025-11-05T04:56:01.000Z,2025/11/4 22:35,./transcription/8.vtt,,,,,,,,,,
9,https://x.com/NewsHour/status/1985940834605301766,"Zohran Mamdani told Donald Trump to ""turn the volume up"" as he addressed his supporters during a victory speech after he won New York City's mayoral race, saying that the city that made the president is also the city that can show the country how to defeat him. ""We will refuse to allow those who traffic in division and hate to pit us against one another,"" Mamdani told supporters on Tuesday. ""In this moment of darkness, New York will be the light. We believe in standing up for those we love, whether you are an immigrant, a member of the trans community, any Black women that Donald Trump has fired from a federal job."" Speaking directly to the president, Mamdani then said, ""Donald Trump, since I know you're watching, I have four words for you: Turn the volume up."" Mamdani, 34, who is a self-described democratic socialist, will be the city’s youngest mayor in over a century. He will also be New York City's first Muslim mayor and person of South Asian descent to hold the role. He defeated former Gov. Andrew Cuomo, who ran as an independent, and Republican Curtis Sliwa.",67,189,"9:22 PM · Nov 4, 2025",2025-11-05T05:22:46.000Z,2025/11/4 0:00,,,,,,,,,,,
10,https://x.com/VaticanNews/status/1985831386222051380,"Pope Leo has called for “deep reflection” on the treatment of migrants in the United States. Speaking to journalists in Castel Gandolfo, just outside Rome, the Pope said that “many people who have lived for years and years” in the US, “never causing problems”, are “deeply affected” by the current situation. The Pope was responding to a question from a journalist concerning the fact that Catholic migrants detained in Chicago have been denied access to Holy Communion. He went on to stress the importance of protecting the “spiritual rights” of migrant detainees.",8598,2314,"2:07 PM · Nov 4, 2025",2025-11-04T22:07:52.000Z,2025/11/4 0:00,,,,,,,,,,,
11,https://x.com/LFCVine/status/1985846613999567277,Virgil calling out Wayne Rooney for his previous comments on live TV.👀 My captain.©️👏,3937,425,"3:08 PM · Nov 4, 2025",2025-11-04T23:08:22.000Z,2025/11/4 0:00,,,,,,,,,,,
12,https://x.com/unhealthytruth/status/1985476405786808638,"💪💪🚨🚨🚨Breaking: I am canceling my membership permanently today at gold’s gym as the location where I used to go in Los Angeles banned a woman today for speaking out because a man was staring at her in the shower, which they allow‼️‼️‼️ And he did far worse than that.",62739,12872,"2:37 PM · Nov 3, 2025",2025-11-03T22:37:18.000Z,2025/11/5 8:30,,,,,,,,,,,
13,https://x.com/usanewshq/status/1985751043737587785,"🚨BREAKING: This is 400,000 Polish patriots on the streets declaring Poland a Christian country. Should the United States do the same? The mainstream media censored this! Can we make it go viral?",26761,7479,"8:48 AM · Nov 4, 2025",2025-11-04T16:48:36.000Z,2025/11/5 8:32,,,,,,,,,,,
14,https://x.com/Rightanglenews/status/1985335916525711767,BREAKING - A Gold’s Gym in the Bronx is under fire after staff revoked a woman’s membership and escorted her out with police after she bravely confronted a man pretending to be a woman in the women’s locker room. You know what to do.,51073,15617,"5:19 AM · Nov 3, 2025",2025-11-03T13:19:02.000Z,2025/11/5 8:38,,,,,,,,,,,
15,https://x.com/EastEndJoe/status/1986035332715008139,The fake news media doesn’t want you to see this. 👇,3636,1551,"3:38 AM · Nov 5, 2025",2025-11-05T11:38:16.000Z,2025/11/5 8:42,,,,,,,,,,,
16,https://x.com/usanewshq/status/1985692249209126994,"🚨BREAKING: Liberals are lashing out after hundreds of Christians took over a mall to celebrate Jesus and not a single person looted or rioted.

What's your reaction? 
@grok",18476,2365,"4:54 AM · Nov 4, 2025",2025-11-04T12:54:59.000Z,2025/11/5 8:46,,,,,,,,,,,
